Username,Fullname,Profile URL,22 may,Historial 15 May,Historial 7 May,Provincia,Localidad,Ubicación Jodify,Cantidad Eventos,Responsable
melomanapitch,Melomana Pitch,https://www.instagram.com/melomanapitch,,,,Neuquén,Neuquén,Neuquén,3,Ramo
holobeatrec,Holobeat,https://www.instagram.com/holobeatrec,,,,Santa Fe,Rosario,Rosario,2,Vila
nonsenseprod,NonSense,https://www.instagram.com/nonsenseprod,,,,Río Negro,EL Bolson,Río Negro,2,Ramo
lagune___,,https://www.instagram.com/lagune___,No,No,no,Santa Fe,Rosario,Rosario,1,Vila
berkanabardelago,Berkana Bar de Lago,https://www.instagram.com/berkanabardelago,,,,Río Negro,Bariloche,Río Negro,13,Ramo
_chikamasa_,Chikamasa,https://www.instagram.com/_chikamasa_,,,,Mendoza,Mendoza,Mendoza,2,Ramo
abundance.ofc,Abundance,https://www.instagram.com/abundance.ofc,Si,No,no,Buenos Aires,GBA,CABA | GBA,3,Vila
hungaronegro,Húngaro Negro,https://www.instagram.com/hungaronegro,Si,No,si,Córdoba,Córdoba,Córdoba,4,Vila
astror4ve,Astro Rave,https://www.instagram.com/astror4ve,,,,Buenos Aires,CABA,CABA | GBA,3,Ramo
fgpbsas,FA🔴GOT BA 🇦🇷,https://www.instagram.com/fgpbsas,,,,Buenos Aires,CABA,CABA | GBA,3,Facu
___manglar,Manglar,https://www.instagram.com/___manglar,,,,Mendoza,Mendoza,Mendoza,2,Ramo
upstairsmendoza,U P S T A I R S,https://www.instagram.com/upstairsmendoza,,,,Mendoza,Mendoza,Mendoza,3,Ramo
feliz.agencia,Feliz Agencia,https://www.instagram.com/feliz.agencia,,,,Mendoza,Mendoza,Mendoza,1,Ramo
gonnagoprod,Gonna Go,https://www.instagram.com/gonnagoprod,,,,Buenos Aires,CABA,CABA | GBA,3,Facu
shaddai.prod,SHADDAI PRODUCE,https://www.instagram.com/shaddai.prod,No,No,no,CABA,CABA,CABA | GBA,3,Vila
sync.festival_,SYNC ELECTRONIC MUSIC,https://www.instagram.com/sync.festival_,,,,Buenos Aires,GBA,CABA | GBA,4,Facu
under_reunion,UNDERGROUND REUNION,https://www.instagram.com/under_reunion,,,,CABA,CABA,CABA | GBA,3,Ramo
chasingsunproductions,Chasing Sun,https://www.instagram.com/chasingsunproductions,,,,CABA,CABA,CABA | GBA,1,Vila
ingroove.nqn,,https://www.instagram.com/ingroove.nqn,,,,Neuquén,Neuquén,Neuquén,1,Ramo
secret_rav3,ravex,https://www.instagram.com/secret_rav3,No,No,si,Santa Fe,Rosario,Rosario,4,Vila
delirium.ciclos,DELIRIUM,https://www.instagram.com/delirium.ciclos,,,,La Pampa,Santa Rosa,La Pampa,1,Ramo
lagaleriaaa,La Galeria 🔳,https://www.instagram.com/lagaleriaaa,,,,Río Negro,Bariloche,Río Negro,3,Ramo
tekgnosis.mgmt,Tekgnosis,https://www.instagram.com/tekgnosis.mgmt,No,No,no,Córdoba,Córdoba,Córdoba,1,Vila
paranoid.techno,PARANOID,https://www.instagram.com/paranoid.techno,No,No,no,CABA,CABA,CABA | GBA,1,Vila
trash.ritual,Țřąşĥ Řįţųął ⬜️,https://www.instagram.com/trash.ritual,No,No,no,Buenos Aires,CABA,CABA | GBA,1,Vila
brutalnoise.999,Brutal Noise,https://www.instagram.com/brutalnoise.999,Si,Si,si,Santa Fe,Rosario,Rosario,1,Vila
quintafter,Quintafter,https://www.instagram.com/quintafter,,,,Buenos Aires,CABA,CABA | GBA,1,Ramo
pulpamusic,Pulpa Music,https://www.instagram.com/pulpamusic,,,,Buenos Aires,CABA,CABA | GBA,1,Facu
tensiontechno_,,https://www.instagram.com/tensiontechno_,,,,Buenos Aires,GBA,CABA | GBA,3,Facu
wildfestivalok,WILD FESTIVAL SANTA FE,https://www.instagram.com/wildfestivalok,No,No,no,Santa Fe,Santa Fe,Santa Fe | Paraná,1,Vila
_ciclos__,CICLOS,https://www.instagram.com/_ciclos__,,,,Buenos Aires,CABA,CABA | GBA,2,Facu
input.palermo.oficial,INPUT Palermo Oficial ©️,https://www.instagram.com/input.palermo.oficial,,,,Buenos Aires,CABA,CABA | GBA,1,Ramo
ucraniatechno,Ucrania Techno,https://www.instagram.com/ucraniatechno,,,,Buenos Aires,CABA,CABA | GBA,1,Ramo
nosotros.produce,Nosotros Produce,https://www.instagram.com/nosotros.produce,,,,Mendoza,Mendoza,Mendoza,1,Ramo
tripevolucion,Trip-Evolucion,https://www.instagram.com/tripevolucion,No,Si,no,Córdoba,Córdoba,Córdoba,2,Vila
kdera.exe,𝗞𝗗𝗘𝗥𝗩,https://www.instagram.com/kdera.exe,,,,Buenos Aires,CABA,CABA | GBA,1,Ramo
tormenta.electronica,⚡STORM⚡,https://www.instagram.com/tormenta.electronica,,,,Neuquén,Neuquén,Neuquén,1,Ramo
fusionmusicba,FUSION,https://www.instagram.com/fusionmusicba,No,No,no,Buenos Aires,CABA,CABA | GBA,2,Vila
hydemusic_,HYDE,https://www.instagram.com/hydemusic_,,,,Buenos Aires,CABA,CABA | GBA,1,Ramo
soundrise.prod,Soundrise Entertainment,https://www.instagram.com/soundrise.prod,,,,Buenos Aires,CABA,CABA | GBA,3,Facu
vertigotechno,Vertigo Techno,https://www.instagram.com/vertigotechno,,,,Buenos Aires,CABA,CABA | GBA,2,Ramo
fire_bsas,FIRE 🔥,https://www.instagram.com/fire_bsas,,,,Buenos Aires,CABA,CABA | GBA,1,Facu
southconga,South Conga,https://www.instagram.com/southconga,,,,Neuquén,Villa La Angostura,Neuquén,1,Ramo
arre.crew,arre crew,https://www.instagram.com/arre.crew,,,,Buenos Aires,Mar del Plata,Mar del Plata,2,Facu
beatsessionsoeste,Beat Sessions,https://www.instagram.com/beatsessionsoeste,,,,Buenos Aires,GBA,CABA | GBA,1,Ramo
microdancing.md,MicroDancing,https://www.instagram.com/microdancing.md,No,No,no,Santa Fe,Rosario,Rosario,2,Vila
loveandlove_festival,Love & Love Festival,https://www.instagram.com/loveandlove_festival,,,,Buenos Aires,Las Toninas,Costa Atlántica,1,Facu
micodelic2.0,Micodelic,https://www.instagram.com/micodelic2.0,No,Si,no,Buenos Aires,CABA,CABA | GBA,2,Vila
arzaffel__,𝐀𝐑𝐙𝐀𝐅𝐅𝐄𝐋🥀,https://www.instagram.com/arzaffel__,No,No,no,Buenos Aires,CABA,CABA | GBA,1,Vila
__psy.kick__,PSYKICK,https://www.instagram.com/__psy.kick__,,,,Buenos Aires,La Plata,La Plata,2,Facu
nativa_producciones_,N A T I V A,https://www.instagram.com/nativa_producciones_,No,No,no,Misiones,Posadas,Misiones,1,Vila
muuvsessions,𝗠𝘂𝘂𝘃 𝗦𝗲𝘀𝘀𝗶𝗼𝗻𝘀,https://www.instagram.com/muuvsessions,No,No,no,Buenos Aires,CABA,CABA | GBA,1,Vila
only_normandina,ONLY CLUB | NORMANDINA,https://www.instagram.com/only_normandina,,,,Buenos Aires,Mar del Plata,Mar del Plata,1,Facu
mutemardelplata,MUTE ➖ Club de Mar,https://www.instagram.com/mutemardelplata,,,,Buenos Aires,Mar del Plata,Mar del Plata,1,Facu
wecan_fest,WeCan-fest,https://www.instagram.com/wecan_fest,,,,Buenos Aires,GBA,CABA | GBA,2,Ramo
cycles________,CYCLES,https://www.instagram.com/cycles________,,,,Buenos Aires,CABA,CABA | GBA,2,Facu
opposite_ba,OPPOSITE,https://www.instagram.com/opposite_ba,No,No,no,Buenos Aires,GBA,CABA | GBA,1,Vila
voltash.ciclo,VOLTASH - Techno en Buenos Aires,https://www.instagram.com/voltash.ciclo,,,,Buenos Aires,CABA,CABA | GBA,2,Facu
valholl_prod,Valhöll,https://www.instagram.com/valholl_prod,,,,Buenos Aires,GBA,CABA | GBA,2,Ramo
technostar.arg,techno star,https://www.instagram.com/technostar.arg,,,,Buenos Aires,GBA,CABA | GBA,2,Facu
safariproductora,SAFARI,https://www.instagram.com/safariproductora,No,No,no,Buenos Aires,CABA,CABA | GBA,1,Vila
detroitclassicgallery,DCG,https://www.instagram.com/detroitclassicgallery,,,,Buenos Aires,CABA,CABA | GBA,1,Ramo
capproducciones,𝗖𝗔𝗣-𝗣𝗿𝗼𝗱𝘂𝗰𝗰𝗶𝗼𝗻𝗲𝘀,https://www.instagram.com/capproducciones,No,Si,no,Córdoba,Rio Cuarto,Córdoba,3,Vila
todoproducciones,TODO PRODUCCIONES,https://www.instagram.com/todoproducciones,,,,Mendoza,Mendoza,Mendoza,1,Ramo
lfo.community,LFO COMMUNITY,https://www.instagram.com/lfo.community,,,,Buenos Aires,CABA,CABA | GBA,1,Facu
utopic_ar,UTOPIC🔹,https://www.instagram.com/utopic_ar,,,,Buenos Aires,CABA,CABA | GBA,2,Facu
fiestabruta,BRUTA,https://www.instagram.com/fiestabruta,No,No,no,Buenos Aires,CABA,CABA | GBA,1,Vila
pulsoproductora,Fiestas con groove y mística 🛸,https://www.instagram.com/pulsoproductora,,,,Buenos Aires,CABA,CABA | GBA,3,Facu
clapmusic_,CLAP MUSIC,https://www.instagram.com/clapmusic_,,,,Buenos Aires,CABA,CABA | GBA,1,Facu
folck_producciones,Folck Producciones,https://www.instagram.com/folck_producciones,,,,Mendoza,Ciudad de Mendoza,Mendoza,2,Ramo
fuss.arg,FUSS,https://www.instagram.com/fuss.arg,,,,Neuquén,Neuquén,Neuquén,2,Ramo
voidz.oficial,VOIDZ OFICIAL,https://www.instagram.com/voidz.oficial,,,,Buenos Aires,CABA,CABA | GBA,1,Ramo
deeper.sessions,DEEPER SESSIONS,https://www.instagram.com/deeper.sessions,No,No,no,Córdoba,Córdoba,Córdoba,1,Vila
delicia.technopride,DELICIA 🌈,https://www.instagram.com/delicia.technopride,,,,Buenos Aires,La Plata,La Plata,2,Facu
keepitflowing.producciones,KEEP IT FLOWING 📀,https://www.instagram.com/keepitflowing.producciones,,,,Buenos Aires,GBA,CABA | GBA,1,Facu
hysteria.rave,H y s t e r i a - R a v e,https://www.instagram.com/hysteria.rave,Si,No,no,Buenos Aires,CABA,CABA | GBA,2,Vila
mondlicht.techno,MONDLICHT,https://www.instagram.com/mondlicht.techno,,,,Buenos Aires,CABA,CABA | GBA,3,Ramo
keyproducciones,Key Producciones,https://www.instagram.com/keyproducciones,,,,Uruguay,Montevideo,Montevideo,1,Ramo
mystic.cba,M Y S T I C 🔮,https://www.instagram.com/mystic.cba,No,No,no,Córdoba,Córdoba,Córdoba,1,Vila
oncecrew_,ONCE,https://www.instagram.com/oncecrew_/,Si,No,no,Santa Fe,Rosario,Rosario,3,Vila
thepartynameisvibes,VIBES ®,https://www.instagram.com/thepartynameisvibes,,,,Buenos Aires,CABA,CABA | GBA,3,Facu
flama.produce,FLAMA PRODUCE,https://www.instagram.com/flama.produce,No,Si,no,Buenos Aires,CABA,CABA | GBA,3,Vila
tekgen_,TEKGEN,https://www.instagram.com/tekgen_,,,,Buenos Aires,CABA,CABA | GBA,1,Facu
dirtywaveslabel,Dirty Waves,https://www.instagram.com/dirtywaveslabel,No,No,no,Buenos Aires,CABA,CABA | GBA,2,Vila
bufo.oficial,BUFO,https://www.instagram.com/bufo.oficial,Si,Si,no,Córdoba,Córdoba,Córdoba,2,Vila
breakhouse.producciones,Break House,https://www.instagram.com/breakhouse.producciones,No,No,no,Córdoba,Pilar,Córdoba,1,Vila
selene.produce,SELENE,https://www.instagram.com/selene.produce,,,,Buenos Aires,CABA,CABA | GBA,1,Ramo
almas.prod,Almas,https://www.instagram.com/almas.prod,No,No,no,Entre Ríos,Paraná,Santa Fe | Paraná,2,Vila
disocial.rave,Disocial.Rave,https://www.instagram.com/disocial.rave,,,,Buenos Aires,La Plata,La Plata,3,Facu
groovesessionvol,Groove Session,https://www.instagram.com/groovesessionvol,No,No,no,Misiones,Posadas,Misiones,5,Vila
bamboleo.ok,Bamboleo Producciones,https://www.instagram.com/bamboleo.ok,,,,Tucumán,Tucumán,Tucumán,3,Facu
picnic_________,picnic______,https://www.instagram.com/picnic_________,Si,Si,no,Córdoba,Córdoba,Córdoba,3,Vila
polyrithmia,Polyrithmia,https://www.instagram.com/polyrithmia,,,,Buenos Aires,CABA,CABA | GBA,3,Ramo
meet.producciones,MEET PRODUCCIONES,https://www.instagram.com/meet.producciones,No,No,no,Santa Fe,Santa Fe,Santa Fe | Paraná,3,Vila
spotless____,Spotless,https://www.instagram.com/spotless____,,,,Buenos Aires,Bahía Blanca,Bahía Blanca,3,Facu
la.boite.club,LaBoiteClub,https://www.instagram.com/la.boite.club,,,,Tucumán,Tafi Viejo,Tucumán,3,Facu
interdance_,INTERDANCE,https://www.instagram.com/interdance_,,,,Buenos Aires,CABA,CABA | GBA,2,Ramo
session909cba,SESSION 909,https://www.instagram.com/session909cba,No,No,no,Córdoba,Córdoba,Córdoba,1,Vila
uoro.ag,UORO.,https://www.instagram.com/uoro.ag,,,,Buenos Aires,CABA,CABA | GBA,4,Ramo
distritoproduce,Distrito,https://www.instagram.com/distritoproduce,No,No,no,Buenos Aires,CABA,CABA | GBA,2,Vila
recamaraproducciones,Recámara Producciones,https://www.instagram.com/recamaraproducciones,,,,Buenos Aires,CABA,CABA | GBA,4,Ramo
limbo.prd,limbo,https://www.instagram.com/limbo.prd,,,,Buenos Aires,CABA,CABA | GBA,1,Ramo
aldea.me,A.L.D.E.A. Music Experience + By DJ MAG L.A.,https://www.instagram.com/aldea.me,,,,Buenos Aires,CABA,CABA | GBA,2,Ramo
metaphysis_0,metaphysis ♡》,https://www.instagram.com/metaphysis_0,,,,Buenos Aires,CABA,CABA | GBA,2,Ramo
fungi.techno,FUNGI,https://www.instagram.com/fungi.techno,,,,Buenos Aires,CABA,CABA | GBA,5,Facu
resetcluub,Reset Club,https://www.instagram.com/resetcluub,,,,Chubut,Comodoro Rivadavia,Chubut,2,Ramo
sektor13___,SEKTOR13,https://www.instagram.com/sektor13___,,,,Buenos Aires,CABA,CABA | GBA,1,Facu
_heaven.ofc,Heaven,https://www.instagram.com/_heaven.ofc,,,,Buenos Aires,CABA,CABA | GBA,2,Ramo
casatonicagintoneria,Bienvenidos a Casa.,https://www.instagram.com/casatonicagintoneria,,,,Buenos Aires,GBA,CABA | GBA,3,Ramo
bealive.prod,Bealive Producciones,https://www.instagram.com/bealive.prod,,,,Buenos Aires,CABA,CABA | GBA,4,Facu
mork.techno,MØRK,https://www.instagram.com/mork.techno,No,No,no,Buenos Aires,GBA,CABA | GBA,3,Vila
_external__,External Producciones,https://www.instagram.com/_external__,,,,Buenos Aires,Mar del Plata,Mar del Plata,3,Facu
myst.lp,MYST,https://www.instagram.com/myst.lp,,,,Buenos Aires,CABA,CABA | GBA,1,Facu
rymmusic.ba,Release Your Mind,https://www.instagram.com/rymmusic.ba,,,,Buenos Aires,CABA,CABA | GBA,2,Facu
rave.tucuman,Rave Techno,https://www.instagram.com/rave.tucuman,,,,Tucumán,Tucumán,Tucumán,1,Facu
mistic.arg,MISTIC,https://www.instagram.com/mistic.arg,,,,Mendoza,Mendoza,Mendoza,1,Ramo
elsotanodec,Sótano,https://www.instagram.com/elsotanodec,,,,Buenos Aires,CABA,CABA | GBA,1,Ramo
ktk_producciones,KTK PRODUCCIONES 🇦🇷,https://www.instagram.com/ktk_producciones,No,No,no,Santa Fe,Rosario,Rosario,1,Vila
levels.producciones,,https://www.instagram.com/levels.producciones,,,,San Luis,Villa Mercedes,San Luis,1,Facu
nirvana_producciones,Nirvana Producciones,https://www.instagram.com/nirvana_producciones,,,,Salta,Salta,Salta,2,Facu
tsw.ciclo,The Second Wave,https://www.instagram.com/tsw.ciclo,,,,Buenos Aires,La Plata,La Plata,3,Facu
zyklus.producciones,ZYKLUS Producciones,https://www.instagram.com/zyklus.producciones,,,,La Pampa,Santa Rosa,La Pampa,4,Ramo
aquabarra,Aquabarra Lado B,https://www.instagram.com/aquabarra,,,,San Luis,San Luis,San Luis,9,Facu
lapistita,La Pistita,https://www.instagram.com/lapistita,No,No,no,Córdoba,Córdoba,Córdoba,2,Vila
blastkick,BLASTKICK,https://www.instagram.com/blastkick,,,,Buenos Aires,CABA,CABA | GBA,2,Facu
dream_drums_ba,dream drums,https://www.instagram.com/dream_drums_ba,,,,Buenos Aires,CABA,CABA | GBA,3,Facu
hooking_ok,Hooking fridays,https://www.instagram.com/hooking_ok,,,,Buenos Aires,CABA,CABA | GBA,1,Facu
aware.prod,AWARE,https://www.instagram.com/aware.prod,,,,Buenos Aires,CABA,CABA | GBA,1,Ramo
r9.producciones,R9 Producciones,https://www.instagram.com/r9.producciones,,,,Tucumán,Tucumán,Tucumán,1,Facu
zebramegusta,Zebra Club,https://www.instagram.com/zebramegusta,No,No,no,Córdoba,Córdoba,Córdoba,0,Vila
munerproducciones,Müner Producciones,https://www.instagram.com/munerproducciones,,,,Santiago del Estero,Santiago del Estero,Santiago del Estero,0,Facu
delimic_,DELIMIC,https://www.instagram.com/delimic_,,,,Buenos Aires,La Plata,La Plata,1,Facu
groove.ok,GROOVE,https://www.instagram.com/groove.ok,,,,Tucumán,Tucumán,Tucumán,0,Facu
soundclubushuaia,Sound Club,https://www.instagram.com/soundclubushuaia,,,,Tierra del Fuego,Ushuaia,Tierra del Fuego,0,Ramo
thebabylon.club,The Babylon Club,https://www.instagram.com/thebabylon.club,No,No,no,Buenos Aires,CABA,CABA | GBA,2,Vila
poltergeist.club,POLTERGEIST,https://www.instagram.com/poltergeist.club,,,,Buenos Aires,GBA,CABA | GBA,1,Facu
meduxsa.ar,Meduxsa®️,https://www.instagram.com/meduxsa.ar,,,,Neuquén,Neuquén,Neuquén,0,Ramo
chakrapsyfestival,CHAKRA PSY,https://www.instagram.com/chakrapsyfestival,,,,Buenos Aires,GBA,CABA | GBA,1,Ramo
weare.rcia,WE ARE,https://www.instagram.com/weare.rcia,,,,Chaco,Resistencia,Chaco,2,Facu
fifthdimension.arg,Fifth Dimension,https://www.instagram.com/fifthdimension.arg,No,No,no,Buenos Aires,GBA,CABA | GBA,2,Vila
arpa.x.salto,ARPA-x07 - Salto Bs As.,https://www.instagram.com/arpa.x.salto,,,,Buenos Aires,Salto,Interior BA,2,Facu
feelthe.fever,🔥FEVER🔥,https://www.instagram.com/feelthe.fever,,,,Chaco,Ressitencia,Chaco,2,Facu
underh4us,UH4 • UNDERH4US,https://www.instagram.com/underh4us,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
genosis.arg,GENOSIS,https://www.instagram.com/genosis.arg,No,No,no,Corrientes,Ciudad de Corrientes,Corrientes,2,Vila
technosis.ar,Technosis,https://www.instagram.com/technosis.ar,Si,No,no,Córdoba,Córdoba,Córdoba,1,Vila
pepe_lounge_club,Pepe,https://www.instagram.com/pepe_lounge_club,,,,Formosa,Formosa,Formosa,0,Facu
limbo.3f,Mundo Limbo,https://www.instagram.com/limbo.3f,No,No,no,Misiones,Puerto Iguazú,Misiones,0,Vila
green.ecoclub,GREEN ECO🌱CLUB,https://www.instagram.com/green.ecoclub,,,,San Juan,San Juan,San Juan,0,Ramo
growler.bar,𝗚𝗥𝗢𝗪𝗟𝗘𝗥 𝗕𝗔𝗥,https://www.instagram.com/growler.bar,,,,Neuquén,Neuquén,Neuquén,0,Ramo
parador1984,Parador / Bar / Restaurante,https://www.instagram.com/parador1984,,,,San Luis,San Luis,San Luis,0,Facu
goformore.prod,GoForMore,https://www.instagram.com/goformore.prod,,,,Salta,Salta,Salta,3,Facu
bitfamily_,BIT,https://www.instagram.com/bitfamily_,,,,Jujuy,Jujuy,Jujuy,2,Facu
thecountymusic_,The County Music,https://www.instagram.com/thecountymusic_,,,,Buenos Aires,Mar del Plata,Mar del Plata,3,Facu
southravemusic,Sᴏᴜᴛʜ Rᴀᴠᴇ Mᴜsɪᴄ | Delirio del Sur,https://www.instagram.com/southravemusic,No,No,no,Buenos Aires,GBA,CABA | GBA,0,Vila
cosechadorrego,Cosecha Dorrego Bar 🍻,https://www.instagram.com/cosechadorrego,,,,Río Negro,EL Bolson,Río Negro,1,Ramo
beatsoundok,𝐁𝐄𝐀𝐓 𝐒𝐎𝐔𝐍𝐃 ~ 𝐄𝐥𝐞𝐜𝐭𝐫𝐨𝐧𝐢𝐜 𝐌𝐮𝐬𝐢𝐜 🌐,https://www.instagram.com/beatsoundok,,,,Buenos Aires,GBA,CABA | GBA,0,Ramo
lajuanabariloche,La Juana Bar,https://www.instagram.com/lajuanabariloche,,,,Río Negro,Bariloche,Río Negro,0,Ramo
retina100,RETINA,https://www.instagram.com/retina100,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
blackjaggerclub,Black Jagger Club,https://www.instagram.com/blackjaggerclub,,,,Mendoza,Mendoza,Mendoza,1,Ramo
memdza,𝗠𝗼𝘃𝗶𝗱𝗮 𝗘𝗹𝗲𝗰𝘁𝗿𝗼́𝗻𝗶𝗰𝗮 𝗠𝗲𝗻𝗱𝗼𝘇𝗮 ®,https://www.instagram.com/memdza,,,,Mendoza,Mendoza,Mendoza,0,Ramo
bohemianrhapsody.ericeira,Events Management,https://www.instagram.com/bohemianrhapsody.ericeira,No,No,no,Entre Ríos,Concordia,Entre Ríos,0,Vila
entrecanibales_electronica,Entre Canibales Electronica,https://www.instagram.com/entrecanibales_electronica,Si,No,no,Santa Fe,Rosario,Rosario,1,Vila
a7.arg,A7,https://www.instagram.com/a7.arg,,,,Río Negro,Río Negro,Río Negro,0,Ramo
quantech.arg,QUANTECH 👾,https://www.instagram.com/quantech.arg,,,,Buenos Aires,GBA,CABA | GBA,1,Facu
hdd.lab,HDD LAB,https://www.instagram.com/hdd.lab,No,No,no,Santa Fe,Rosario,Rosario,0,Vila
thesoundofmountain,𝗧𝗛𝗘 𝗦𝗢𝗨𝗡𝗗 𝗢𝗙 𝗠𝗢𝗨𝗡𝗧𝗔𝗜𝗡,https://www.instagram.com/thesoundofmountain,,,,Río Negro,Bariloche,Río Negro,1,Ramo
pulse.electronicclub,PULSE ELECTRONIC CLUB,https://www.instagram.com/pulse.electronicclub,No,No,no,Córdoba,Córdoba,Córdoba,0,Vila
speculationsltd,Speculations LTD.,https://www.instagram.com/speculationsltd,,,,CABA,CABA,CABA | GBA,0,Ramo
_space2k,Space 2000,https://www.instagram.com/_space2k,,,,CABA,CABA,CABA | GBA,0,Facu
c0ncret0,CONCRETO,https://www.instagram.com/c0ncret0,,,,CABA,CABA,CABA | GBA,1,Ramo
jupiter4__,Juͧрⷬiͥᴛⷮeͤrͬ4 ☯,https://www.instagram.com/jupiter4__,No,No,no,CABA,CABA,CABA | GBA,0,Vila
n4in9n4in,N4IN9N4IN,https://www.instagram.com/n4in9n4in,,,,CABA,CABA,CABA | GBA,0,Facu
delirio_freeopenair,DELIRIO free open air,https://www.instagram.com/delirio_freeopenair,,,,Buenos Aires,CABA,CABA | GBA,3,Ramo
under.rail,Under Rail,https://www.instagram.com/under.rail,,,,Buenos Aires,CABA,CABA | GBA,1,Facu
peraproducciones_,PERA,https://www.instagram.com/peraproducciones_,,,,Santiago del Estero,Santiago del Estero,Santiago del Estero,0,Facu
moonfestpotrerillos,MOONFEST,https://www.instagram.com/moonfestpotrerillos,,,,Mendoza,Mendoza,Mendoza,0,Ramo
unibeat.producciones,Unibeat | Productora,https://www.instagram.com/unibeat.producciones,No,No,no,Buenos Aires,CABA,CABA | GBA,1,Vila
planetario.experiencia,PLANETARIO,https://www.instagram.com/planetario.experiencia,No,No,no,Córdoba,Córdoba,Córdoba,0,Vila
thepantheonpsy,THΣ PΔΠTHΣΩΠ PSΨ,https://www.instagram.com/thepantheonpsy,No,No,no,Buenos Aires,CABA,CABA | GBA,0,Vila
Renée Je T'Aime | Lounge Bar (jueves),Renée Je T'Aime | Lounge Bar,https://www.instagram.com/renee.jetaime,,,,Buenos Aires,CABA,CABA | GBA,0,Ramo
humana.ciclo,HUMANA,https://www.instagram.com/humana.ciclo,,,,Buenos Aires,La Plata,La Plata,0,Facu
nordica_producciones,Nordica Producciones,https://www.instagram.com/nordica_producciones,No,No,no,Córdoba,Córdoba,Córdoba,0,Vila
nordica.prod,Nordica Producciones,https://www.instagram.com/nordica.prod,No,No,no,Córdoba,Córdoba,Córdoba,0,Vila
dynamic.recs,DYNAMIC,https://www.instagram.com/dynamic.recs,,,,Buenos Aires,GBA,CABA | GBA,3,Facu
wartablerecords,Wartable Records,https://www.instagram.com/wartablerecords,,,,Buenos Aires,GBA,CABA | GBA,1,Ramo
sohopde,Soho Punta del Este,https://www.instagram.com/sohopde,,,,Uruguay,Punta del Este,Uruguay,0,Ramo
mitic______,mitic,https://www.instagram.com/mitic______,,,,Uruguay,Punta del Este,Uruguay,0,Ramo
black_kuvo,Black Kuvo 🇦🇷  🇮🇹,https://www.instagram.com/black_kuvo,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
somoshood_prod,HOOD PRODUCCIONES,https://www.instagram.com/somoshood_prod,,,,Buenos Aires,CABA,CABA | GBA,3,Ramo
resonateoficial,RESONATE OFICIAL,https://www.instagram.com/resonateoficial,No,No,no,Santa Fe,Rosario,Rosario,0,Vila
conceptmooving,CONCEPT MOOVING,https://www.instagram.com/conceptmooving,No,Si,no,Buenos Aires,GBA,CABA | GBA,1,Vila
dforesttechno.oficial,𝗘𝗩𝗘𝗡𝗧𝗢𝗦 𝗧𝗘𝗖𝗛𝗡𝗢 🌲,https://www.instagram.com/dforesttechno.oficial,,,,Buenos Aires,GBA,CABA | GBA,0,Facu
janos.beach,JANO’S BEACH,https://www.instagram.com/janos.beach,,,,Buenos Aires,Mar del Plata,Mar del Plata,0,Facu
mita.club,Music is the Answer,https://www.instagram.com/mita.club,No,No,no,Misiones,Posadas,Misiones,0,Vila
rooftop.sde,ROOFTOP,https://www.instagram.com/rooftop.sde,,,,Santiago del Estero,Santiago del Estero,Santiago del Estero,0,Facu
pulso.experiences,PULSO🫀,https://www.instagram.com/pulso.experiences,,,,Santiago del Estero,Santiago del Estero,Santiago del Estero,1,Facu
wearehoku,Hoku,https://www.instagram.com/wearehoku,,,,Tucumán,Tucumán,Tucumán,0,Facu
elroblewakecomplex,El Roble Wake Complex,https://www.instagram.com/elroblewakecomplex,,,,Mendoza,Mendoza,Mendoza,0,Ramo
camden.ar,CAMDEN,https://www.instagram.com/camden.ar,No,No,no,Buenos Aires,CABA,CABA | GBA,0,Vila
nautica.summerlife,NÁUTICA ⛵,https://www.instagram.com/nautica.summerlife,,,,Córdoba,Córdoba,Córdoba,0,Vila
quantik.bsas,QUANTIK by INPUT,https://www.instagram.com/quantik.bsas,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
lunar_groove,Lunar Groove,https://www.instagram.com/lunar_groove,,,,Buenos Aires,Mar del Plata,Mar del Plata,0,Facu
capadoccia.ar,CAPADOCCIA ARGENTINA,https://www.instagram.com/capadoccia.ar,,,,Buenos Aires,Mar del Plata,Mar del Plata,0,Facu
backpoolplace,Back Pool,https://www.instagram.com/backpoolplace,,,,Buenos Aires,Pinamar,Costa Atlántica,0,Facu
somosraicess,𝗥𝗔𝗜𝗖𝗘𝗦,https://www.instagram.com/somosraicess,,,,Río Negro,Río Negro,Río Negro,0,Ramo
grooveselections,GrooveSelections,https://www.instagram.com/grooveselections,,,,Buenos Aires,GBA,CABA | GBA,0,Ramo
tynd.producciones,,https://www.instagram.com/tynd.producciones,,,,San Juan,San Juan,San Juan,1,Ramo
lima.bsas,Lima Bs As,https://www.instagram.com/lima.bsas,No,No,no,Buenos Aires,CABA,CABA | GBA,0,Vila
moontechno.producciones,M O O N T E C H N O,https://www.instagram.com/moontechno.producciones,,,,Tucumán,San Miguel de Tucumán,Tucumán,0,Facu
endlessnight.ba,Endless Night,,,,,Buenos Aires,CABA,CABA | GBA,0,Facu
