Username,Fullname,Profile URL,22 may,Historial 15 May,Historial 7 May,Provincia,Localidad,Ubicación Jodify,Cantidad Eventos,Responsable
theshamrockba,The Shamrock Bar & Basement,https://www.instagram.com/theshamrockba,,,,Buenos Aires,CABA,CABA | GBA,25,Facu
fruta.oficial,Fruta,https://www.instagram.com/fruta.oficial,No,Si,no,Córdoba,Córdoba,Córdoba,13,Vila
terrafuria,TERRA FURIA,https://www.instagram.com/terrafuria,Si,Si,no,Córdoba,Córdoba,Córdoba,14,Vila
clubthebowba,THE BOW CLUB 🇦🇷,https://www.instagram.com/clubthebowba,,,,Buenos Aires,CABA,CABA | GBA,13,Facu
lacrewros,La Crew Ros.,https://www.instagram.com/lacrewros,No,No,no,Santa Fe,Rosario,Rosario,7,Vila
dusk.prod,DUSK,https://www.instagram.com/dusk.prod,,,,Buenos Aires,CABA,CABA | GBA,12,Facu
nexus.electronic,NEXUS,https://www.instagram.com/nexus.electronic,,,,Buenos Aires,Mar del Plata,Mar del Plata,0,Facu
estamosfelices,Estamos Felices,https://www.instagram.com/estamosfelices,No,No,No,CABA,CABA,CABA | GBA,16,Vila
despuesdetodo.cba,DDT - DESPUÉS DE TODO,https://www.instagram.com/despuesdetodo.cba,No,No,no,Córdoba,Córdoba,Córdoba,6,Vila
clublatranquera,Club La Tranquera,https://www.instagram.com/clublatranquera,No,No,no,Buenos Aires,CABA,CABA | GBA,8,Vila
elysium.producciones,Elysium Producciones,https://www.instagram.com/elysium.producciones,,,,Mendoza,Mendoza,Mendoza,11,Ramo
sequence.nightclub,Sequence,https://www.instagram.com/sequence.nightclub,Si,Si,Si,Córdoba,Córdoba,Córdoba,15,Vila
slowandlouder,S&L,https://www.instagram.com/slowandlouder/,,,,Buenos Aires,CABA,CABA | GBA,9,Ramo
ladob_producciones,Lado B producciones,https://www.instagram.com/ladob_producciones,Si,Si,no,Santa Fe,Rosario,Rosario,11,Vila
roomie.club,Roomie Club,https://www.instagram.com/roomie.club,,,,Buenos Aires,Mar del Plata,Mar del Plata,27,Facu
crafterbar_nqn,CRAFTER BAR,https://www.instagram.com/crafterbar_nqn,,,,Neuquén,Neuquén,Neuquén,22,Ramo
nextproducciones.ros,NEXT PRODUCCIONES,https://www.instagram.com/nextproducciones.ros,,,,Santa Fe,Rosario,Rosario,5,Vila
veinticuatrosiete.prod,Veinticuatro Siete,https://www.instagram.com/veinticuatrosiete.prod,No,Si,si,Córdoba,Córdoba,Córdoba,11,Vila
elcalamarloco,El Calamar Loco,https://www.instagram.com/elcalamarloco,,,,Buenos Aires,Mar del Plata,Mar del Plata,7,Facu
pulsar.producciones,Pulsar Producciones,https://www.instagram.com/pulsar.producciones,No,Si,no,Córdoba,Córdoba,Córdoba,9,Vila
laestacioncordoba,LA ESTACIÓN,https://www.instagram.com/laestacioncordoba,No,No,no,Córdoba,Córdoba,Córdoba,8,Vila
tauronena_,Tauro Nena,https://www.instagram.com/tauronena_,No,No,no,Buenos Aires,CABA,CABA | GBA,6,Vila
soundakaofficial,SOUNDAKA,https://www.instagram.com/soundakaofficial,,,,Buenos Aires,Mar del Plata,Mar del Plata,5,Facu
fungus.beer,🍄 F U N G U S 🍄,https://www.instagram.com/fungus.beer,,,,Buenos Aires,La Plata,La Plata,6,Facu
mantraloungeclub,Mantra Lounge Club,https://www.instagram.com/mantraloungeclub,No,No,no,Misiones,Puerto Rico,Misiones,6,Vila
blacksheep.pub,BlackSheep,https://www.instagram.com/blacksheep.pub,No,Si,si,Córdoba,Córdoba,Córdoba,10,Vila
happysessionok,Happy Session,https://www.instagram.com/happysessionok,,,,Buenos Aires,Bahía Blanca,Bahía Blanca,10,Facu
freakmeoutarg,FREAK ME OUT,https://www.instagram.com/freakmeoutarg,No,No,no,Buenos Aires,CABA,CABA | GBA,8,Vila
humclubdemusica,HUM | CLUB DE MUSICA,https://www.instagram.com/humclubdemusica,No,No,si,Santa Fe,Rosario,Rosario,7,Vila
independence.music,INDEPENDENCE | INDEPENDANCE 🇦🇷,https://www.instagram.com/independence.music,,,,Buenos Aires,CABA,CABA | GBA,9,Facu
ciclo.isis,I S I S ELECTRONIC MUSIC 🇦🇷,https://www.instagram.com/ciclo.isis,,,,Buenos Aires,La Plata,La Plata,5,Facu
destinoarena,destinoarena,https://www.instagram.com/destinoarena,No,No,no,Buenos Aires,CABA,CABA | GBA,4,Vila
inusual_music,░i░n░u░s░u░a░l░,https://www.instagram.com/inusual_music,No,No,si,Buenos Aires,CABA,CABA | GBA,7,Vila
produccionalquimia,ALQUIMIA,https://www.instagram.com/produccionalquimia,,,,Buenos Aires,CABA,CABA | GBA,7,Ramo
hop_oficial,HOP OFICIAL,https://www.instagram.com/hop_oficial,,,,Buenos Aires,GBA,CABA | GBA,4,Facu
alfinlunes.prod,Al Fin Lunes Producciones,https://www.instagram.com/alfinlunes.prod,No,No,no,Santa Fe,Rosario,Rosario,6,Vila
